Thursday, January 1, 2026	New Year's Day
Monday, January 19, 2026	Birthday of Martin Luther King, Jr.
Monday, February 16, 2026**	Washington's Birthday
Monday, May 25, 2026	Memorial Day
Friday, June 19, 2026	Juneteenth National Independence Day
Friday, July 3, 2026***	Independence Day
Monday, September 7, 2026	Labor Day
Monday, October 12, 2026	Columbus Day
Wednesday, November 11, 2026	Veterans Day
Thursday, November 26, 2026	Thanksgiving Day
Friday, December 25, 2026	Christmas Day
December 31st.
